Repository,Organization,License Status,Private/Public,License,Notes
cqgc-pre-prod-service-configurations,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqgc-pre-prod-service-configurations** in Ferlab-Ste-Justine is private and is being skipped.
kvm-zeppelin,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **kvm-zeppelin** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ferlab-coredns,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferlab-coredns** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
unic-kubernetes-environments,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-kubernetes-environments** in Ferlab-Ste-Justine is private and is being skipped.
docker-maven-node,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **docker-maven-node** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-nfs-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-nfs-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-portal-ui,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-portal-ui** in Ferlab-Ste-Justine is private and is being skipped.
terraform-kubernetes-fluxcd-bootstrap,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-kubernetes-fluxcd-bootstrap** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
fluentd-docker-image,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **fluentd-docker-image** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
unic-spark,Ferlab-Ste-Justine,Archived,Private,,
users-api,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **users-api** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-postgres-load-balancer,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-postgres-load-balancer** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-fhir-server,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-fhir-server** in Ferlab-Ste-Justine is private and is being skipped.
clin-portal-forms,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-portal-forms** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-portal-ui,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-portal-ui** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-etcd-configs,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-etcd-configs** in Ferlab-Ste-Justine is private and is being skipped.
configurations-auto-updater,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **configurations-auto-updater** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ghaction-import-gpg,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ghaction-import-gpg** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
api-portal-reports,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **api-portal-reports** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-prometheus-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-prometheus-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
prometheus-libvirt-exporter,Ferlab-Ste-Justine,Valid License,Public,MIT License,Repository **prometheus-libvirt-exporter** in Ferlab-Ste-Justine has a valid license: MIT License
fe-config-husky,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **fe-config-husky** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
unic-report,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-report** in Ferlab-Ste-Justine is private and is being skipped.
airflow,Ferlab-Ste-Justine,Private,Private,Private,Repository **airflow** in Ferlab-Ste-Justine is private and is being skipped.
terraform-tls-client-certificate,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-tls-client-certificate** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-fhir-import,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-fhir-import** in Ferlab-Ste-Justine is private and is being skipped.
terraform-libvirt-opensearch-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-opensearch-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
kubernetes-client-config,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **kubernetes-client-config** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-api-arranger,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-api-arranger** in Ferlab-Ste-Justine is private and is being skipped.
etl-cqdg-portal,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **etl-cqdg-portal** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
varsome-proxy,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **varsome-proxy** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
vm-image-builds,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **vm-image-builds** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-provider-opensearch,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-provider-opensearch** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
etcd-sdk,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **etcd-sdk** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
unic-prod-service-configurations,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-prod-service-configurations** in Ferlab-Ste-Justine is private and is being skipped.
terraform-backend-etcd,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-backend-etcd** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
packerbot,Ferlab-Ste-Justine,Private,Private,Private,Repository **packerbot** in Ferlab-Ste-Justine is private and is being skipped.
fluentd-kubernetes-daemonset,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **fluentd-kubernetes-daemonset** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-provider-minio,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-provider-minio** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
app-butcher,Ferlab-Ste-Justine,Private,Private,Private,Repository **app-butcher** in Ferlab-Ste-Justine is private and is being skipped.
users-api-concourse,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **users-api-concourse** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
unic-poc-sso,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-poc-sso** in Ferlab-Ste-Justine is private and is being skipped.
poc-keycloak,Ferlab-Ste-Justine,Private,Private,Private,Repository **poc-keycloak** in Ferlab-Ste-Justine is private and is being skipped.
terraform-kubernetes-etcd-localhost,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-kubernetes-etcd-localhost** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ferload-client-cli-go,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferload-client-cli-go** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-portal-report,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-portal-report** in Ferlab-Ste-Justine is private and is being skipped.
terraform-cloudinit-templates,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-cloudinit-templates** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
kvm-dev-orchestrations,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **kvm-dev-orchestrations** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
kubespray-image,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **kubespray-image** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-elasticsearch-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-elasticsearch-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-elasticsearch-security-groups,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-elasticsearch-security-groups** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-kubernetes-security-groups,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-kubernetes-security-groups** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-kubernetes-load-balancer,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-kubernetes-load-balancer** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-kubernetes-node,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-kubernetes-node** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-panels,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-panels** in Ferlab-Ste-Justine is private and is being skipped.
ferlease,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferlease** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ferlease-playground,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferlease-playground** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
git-sdk,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **git-sdk** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
unic-redcap-connector,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-redcap-connector** in Ferlab-Ste-Justine is private and is being skipped.
envoy-transport-control-plane,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **envoy-transport-control-plane** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
github-maintenance,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **github-maintenance** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-transport-load-balancer,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-transport-load-balancer** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
rstudio-workbench-image,Ferlab-Ste-Justine,Private,Private,Private,Repository **rstudio-workbench-image** in Ferlab-Ste-Justine is private and is being skipped.
terraform-etcd-envoy-transport-configuration,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-etcd-envoy-transport-configuration** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-provider-tlsext,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-provider-tlsext** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-prescription-ui,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-prescription-ui** in Ferlab-Ste-Justine is private and is being skipped.
cqgc-keycloak,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqgc-keycloak** in Ferlab-Ste-Justine is private and is being skipped.
terraform-libvirt-vault-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-vault-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-vault-load-balancer,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-vault-load-balancer** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-fhir-import-file-data,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-fhir-import-file-data** in Ferlab-Ste-Justine is private and is being skipped.
systemd-remote,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **systemd-remote** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-automation-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-automation-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
packer-remote,Ferlab-Ste-Justine,Private,Private,Private,Repository **packer-remote** in Ferlab-Ste-Justine is private and is being skipped.
clin-portal-theme,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **clin-portal-theme** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-minio-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-minio-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-dhcp-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-dhcp-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-transport-load-balancer,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-transport-load-balancer** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-automation-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-automation-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
gitsync,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **gitsync** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
arranger-1,Ferlab-Ste-Justine,Valid License,Public,GNU Affero General Public License v3.0,Repository **arranger-1** in Ferlab-Ste-Justine has a valid license: GNU Affero General Public License v3.0
cqdg-infra-automation-server,Ferlab-Ste-Justine,Archived,Private,,
ferlapi,Ferlab-Ste-Justine,Private,Private,Private,Repository **ferlapi** in Ferlab-Ste-Justine is private and is being skipped.
terraform-openstack-coredns-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-coredns-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-coredns-security-groups,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-coredns-security-groups** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-alertmanager-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-alertmanager-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-opensearch-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-opensearch-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-opensearch-security-groups,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-opensearch-security-groups** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-tls-opensearch-certificates,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-tls-opensearch-certificates** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-alertmanager-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-alertmanager-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-alertmanager-security-groups,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-alertmanager-security-groups** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-prometheus-security-groups,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-prometheus-security-groups** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-prometheus-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-prometheus-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-pre-prod-service-configurations,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-pre-prod-service-configurations** in Ferlab-Ste-Justine is private and is being skipped.
terraform-openstack-transport-load-balancer-security-groups,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-transport-load-balancer-security-groups** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-prod-service-configurations,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-prod-service-configurations** in Ferlab-Ste-Justine is private and is being skipped.
clin-maintenance-ui,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-maintenance-ui** in Ferlab-Ste-Justine is private and is being skipped.
terraform-openstack-postgres-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-postgres-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-postgres-load-balancer,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-postgres-load-balancer** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-postgres-security-groups,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-postgres-security-groups** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
s3-http-proxy,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **s3-http-proxy** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-infra,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-infra** in Ferlab-Ste-Justine is private and is being skipped.
unic-python-lib,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-python-lib** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-ops-service-configurations,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-ops-service-configurations** in Ferlab-Ste-Justine is private and is being skipped.
terraform-openstack-vault-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-vault-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
devops-scripts,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **devops-scripts** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-etcd-prometheus-configuration,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-etcd-prometheus-configuration** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-vault-security-groups,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-vault-security-groups** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-vault-load-balancer,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-vault-load-balancer** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-mocks-api,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-mocks-api** in Ferlab-Ste-Justine is private and is being skipped.
terraform-libvirt-custom-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-custom-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ferio,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferio** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-etcd-ferio-configuration,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-etcd-ferio-configuration** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-custom-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-custom-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-ferload-drs-import,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-ferload-drs-import** in Ferlab-Ste-Justine is private and is being skipped.
terraform-provider-healthcheck,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-provider-healthcheck** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
poc-translation,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **poc-translation** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-qlin-me,Ferlab-Ste-Justine,Archived,Private,,
unic-admin-catalog-api,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-admin-catalog-api** in Ferlab-Ste-Justine is private and is being skipped.
unic-admin-catalog-ui,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-admin-catalog-ui** in Ferlab-Ste-Justine is private and is being skipped.
ferlab-next,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferlab-next** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
nf-postprocessing,Ferlab-Ste-Justine,No License,Public,None,Repository **nf-postprocessing** in Ferlab-Ste-Justine is public and does not have a license file. A license is recommended.
pipeline-exploration-tools,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **pipeline-exploration-tools** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
custom-docker-images,Ferlab-Ste-Justine,Private,Private,Private,Repository **custom-docker-images** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-wrapper-api,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-wrapper-api** in Ferlab-Ste-Justine is private and is being skipped.
ferlab-ci,Ferlab-Ste-Justine,Private,Private,Private,Repository **ferlab-ci** in Ferlab-Ste-Justine is private and is being skipped.
cavatica-manifest-api,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **cavatica-manifest-api** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
Post-processing-Pipeline,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **Post-processing-Pipeline** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
quality-control-pipeline,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **quality-control-pipeline** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
hail-on-k8s,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **hail-on-k8s** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-denovo-nextflow,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **cqdg-denovo-nextflow** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-qlin-me-hybrid,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-qlin-me-hybrid** in Ferlab-Ste-Justine is private and is being skipped.
clin-localstack,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-localstack** in Ferlab-Ste-Justine is private and is being skipped.
ferlab-svclustering,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferlab-svclustering** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ferlab-svclustering-parental-origin,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferlab-svclustering-parental-origin** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
unicr,Ferlab-Ste-Justine,Private,Private,Private,Repository **unicr** in Ferlab-Ste-Justine is private and is being skipped.
